context,emotional_conclusion
Pak Adi sekeluarga akan merayakan Idul fitri dua hari lagi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Lima hari lagi, Andi, seorang pemuda Solok yang sedang merantau di Jakarta akan merayakan Idul Fitri.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Rifky sangat antusias dengan idul fitri besok.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Semua anggota keluarga Pak Bayu sedang bersiap-siap di hari Idul Fitri.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Hanya Bayu dan saudaranya yang bersiap-siap berangkat untuk sholat Idul Adha.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Jimi senang sekali bisa berkurban di hari raya Idul Adha.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sholat Idul Fitri sudah selesai diselenggarakan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Pagi ini terasa berbeda karena Ani, seorang anak berusia 6 tahun sangat antusias.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Semarak lebaran sudah berakhir di rumah nenek.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Nuraini adalah seorang dari Ampek Angkek, Sumatera Barat.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Santi adalah adalah anak pemilik kebun di Panganak, Bukittinggi.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Suhaimi dan pemangku adat Pasaman Barat akan menanam padi di minggu mendatang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Pak Suhaimi adalah seorang petani di Jorong Surau Lauik, Kabupaten Agam.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tono anak bungsu Nuraini bersemangat untuk ke sawah besok.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Nuraini bersiap-siap dengan tradisi mairiak besok.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Selain ke sawah, biasanya Suhaimi juga memiliki ternak.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Uda Ronal adalah peternak di daerah Kabupaten Agam.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Besok Heri, nelayan asal Padang akan melakukan tradisi maelo pukek,.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Keluarga Pak Buya adalah penghasil ikan bilih dan telah dikirim ke Jakarta.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ikan bilih adalah menu andalan keluarga Pak Toni.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Leni tinggal di Bukittinggi dan ia ingin berbelanja kebutuhan dapur seperti bumbu masak, daging dan ikan.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Leni tinggal di Bukittinggi dan ia ingin berbelanja baju, sepatu, dan dasi baru.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Di acara malam bainai, keluarga Yuni mengundang musisi tradisional.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Fajar sangat suka dengan bansi nya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Datuak marajo sangat mahir menggunakan pupuik batang padi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Ica kerap bersinandung ""luruihlah jalan payakumbuah, babelok jalan kayu jati, dima ati indak ka rusuah, ayam den lapeh"".",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Ica kerap bersinandung ""takana.. jo kampuang... induak ayah adiah sadonyo..."".",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ica sangat suka lagu Bareh Solok.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Di acara pernikahan Yuni, mereka ingin menampilkan tari piring ke para tamu undangan.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sudah menjadi tradisi di Jorong Panampuang untuk menampilkan tari pasambahan jika ada Bupati yang datang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Ketika menarikan tari pasambahan, Nurul mendekati tamu undangan.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Di acara ini Retno memutuskan untuk menampilkan tari piring.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Daus adalah seorang petani dan peternak di Jorong Kubu yang sangat suka memainkan pupuik batang padi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Datuak Parpatiah adalah seorang pemain saluang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kurang lengkap rasanya jika dalam acara pengangkatan Datuk tim seni tidak menggunakan talempong.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ketika orang Pasaman bercerita tentang suatu kisah mereka menggunakan rabab.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Sudah menjadi keyakinan Andi sebagai orang minang tulen, bahwa hidup harus berlandaskan agama.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Sudah menjadi keyakinan Andi sebagai orang minang tulen, bahwa segala sesuatunya bisa dijadikan pelajaran kehidupan.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Ika, Santi, dan Maya bermain mancik-mancik sore ini di halaman.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anak-anak di halaman memutuskan untuk bermain mancik-mancik.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Adi dan teman-temannya di halaman bermain sepak tekong.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Santi dan Yani bermain kuciang-kuciang di rumah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Adi dan teman-temannya sangat suka bermain sepak tekong.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Muhib dan teman-temannya pergi ke kedai untuk meminum kopi kawa.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Muhib dan teman-temannya pergi ke kedai untuk bermain kartu koa.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Di SD N 1 Tarok sudah biasa anak-anak untuk senam pagi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Ketika bertamasya ke Bukittinggi, Santi memutuskan untuk mengelilingi kota dengan kendaraan tradisional.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Hari ini Deni ingin ke kota.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Nek Ayu masih tinggal di rumah tradisional.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Di depan rumah gadang yang dihuni Nek Ayu masih terdapat rangkiang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Ketika azan maghrib berkumandang, Ibu mulai menutupi semua jendela.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Setelah sholat isya, Ibu mematikan televisi di rumah.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Hari Senin pagi, Ibu membangunkan anak-anak yang masih tertidur.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Di Jorong Tarok, saat azan subuh berkumandang banyak orang keluar rumah.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pada minggu pagi Doni dan teman-teman nya pergi mengikuti didikan subuh.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ujang diasingkan di masyarakat karena ia dituduh sebagai seorang palasik.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Masyarakat meyakini bahwa Pak Udin adalah hantu harimau.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Hari Sabtu, Rifky akan dilantik menjadi Datuak di sukunya.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ica sebagai anak perempuan satu-satunya di rumah selalu dipanggil oleh mama ke dapur jika mama hendak memasak.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Badan Bapak terasa pegal-pegal.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Untuk mempertebal rambut, Ica menggunakan kemiri.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Agar tampak selalu putih bersih, Ica menggunakan bedak beras.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Helen suka sakit kepala.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Ketika badan terasa demam, Beti suka meminum air cincau.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Danu masuk angin.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Prinsip hidup Rifky adalah ""Dima bumi dipijak disitu langik dijunjuang"".",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pagi ini kami sarapan katan goreng yang dibeli di kedai Mak Ipah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Salah satu restoran favorit keluarga kami adalah Simpang Raya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kami makan siang di Sederhana.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Adikku sangat menyukai karak kaliang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Sebenarnya Bapak sangat menyukai cancang, tapi beliau tidak boleh makan sering-sering.",Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Gulai cubadak diolah dari nangka muda.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sapi tidak hanya diolah dagingnya untuk rendang atau paru untuk dendeng.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Jika ke Bukittinggi, tak lengkap rasanya jika tidak berkunjung ke Los Lambuang.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Siapa yang tidak suka sate Padang?.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Makanan Minang lekat dengan citarasa pedas.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
"Setiap hari raya, Mak Dang menghidangkan lamang tapai. Namun, saya hampir tidak pernah memakannya.",Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
"Setiap Nenek datang dari kampung, selalu membawakan kami bermacam-macam buah tangan.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tetangga memberikan kami seplastik dakak-dakak.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Cuaca siang ini cukup terik.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Teh talua terbuat dari kuning telur yang dicampur dengan teh.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Saya suka makan lamang ketan dengan tapai dan sarikayo.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Para tamu alek dipersilakan masuk ke rumah agar menikmati hidangan yang sudah tersaji.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibu memasak soto Padang untuk makan malam.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Pernikahan dalam adat Minang memiliki sejumlah tahapan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Linda sudah menjadi yatim piatu sejak dia lahir.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Malam bainai diadakan menjelang hari pernikahan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kami akan menyelenggarakan alek pernikahan Uni Indah besok.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anak daro diarak dari rumah induak bako menuju rumah orang tuanya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Maanta marapulai merupakan prosesi terakhir dalam rangkaian acara pesta pernikahan di Harau.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tetangga dan kerabat memanggil Abakku Saidi Batuah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Bundo Kanduang Kurai pergi mengantar jamba.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Marapulai memakai pakaian kebesaran adat yang lazim dipakai penghulu.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Mirna dan Arifin bersanding di pelaminan menggunakan pakaian adat Koto Gadang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pengantin wanita dalam berbagai adat nusantara memakai hiasan kepala.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Saat makan bajamba, tamu duduk berkelompok melingkar mengelilingi pinggan besar berisi makanan.",Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
"Ketika makan bajamba, kita perlu memperhatikan adab.",Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
"Sajian utama ketika makan bajamba adalah nasi dan lauk pauk seperti rendang, gulai itik, dan sayur nangka.",Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Sipangka alek mempersilakan tamu menambah makanan.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
"Pak Nasri dan Bu Yusni memiliki dua orang anak, Fauzan dan Yanti.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Rizal, seorang PNS di Pemkot Padang, memiliki anak istri yang tinggal di kampung mereka di Air Bangis.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Andika dan Neli menikah pulang ka bako.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Saya memanggilnya Tek Wati.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
